pr_id,repository_name,title_length,description_length,files_changed,lines_added,lines_deleted,time_to_merge,num_commits,is_bug_fix,num_comments,num_reviewers,merge_status,author_experience,author_tenure,author_contributions,review_time,num_approvals,review_sentiment_score,security_issues,code_quality_issues,number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
26058,opencv,29,812,1,1,1,,1,True,0,1,False,21,70.43333333333334,,0.6925,0,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpq8dds9h3.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpq8dds9h3.cpp: HAVE_DNN_NGRAPH...
",No major code quality issues found.,926.0,36.1,7.5,266.8,24.0,2.0,0.08,0.3
26052,opencv,26,796,1,6,2,5.4591666666666665,1,False,0,1,True,128,117.46666666666668,,5.441666666666666,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpkkxdmv7o.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpkkxdmv7o.cpp: MSVC_OLD=0...
Checking C:\Users\user\AppData\Local\Temp\tmpkkxdmv7o.cpp: _MSC_VER...
",No major code quality issues found.,1252.0,33.1,6.8,399.4,36.0,4.0,0.11,0.33
26051,opencv,26,789,1,12,2,,1,False,0,0,False,128,117.46666666666668,,0.0,0,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpgdd9qw34.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpgdd9qw34.cpp: MSVC_OLD=0...
Checking C:\Users\user\AppData\Local\Temp\tmpgdd9qw34.cpp: _MSC_VER...
",No major code quality issues found.,1252.0,33.1,6.8,399.4,36.0,4.0,0.11,0.33
26046,opencv,38,366,1,4,2,2.575277777777778,1,False,2,1,True,0,144.06666666666666,,2.5716666666666668,1,0.7666666666666666,"Checking C:\Users\user\AppData\Local\Temp\tmp6tdg_qsp.cpp ...
",No major code quality issues found.,416.0,6.9,1.9,56.0,58.0,1.0,0.02,0.37
26045,opencv,51,772,1,2,0,16.628888888888888,1,True,0,1,True,1604,144.33333333333334,,16.128611111111113,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpz0hwvfxg.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpz0hwvfxg.cpp: HAVE_DSHOW;_WIN32...
Checking C:\Users\user\AppData\Local\Temp\tmpz0hwvfxg.cpp: HAVE_DSHOW;_WIN32;_DEBUG...
Checking C:\Users\user\AppData\Local\Temp\tmpz0hwvfxg.cpp: HAVE_DSHOW;_WIN32;__GNUC__...
Checking C:\Users\user\AppData\Local\Temp\tmpz0hwvfxg.cpp: HAVE_DSHOW;_WIN32;__MINGW32__...
Checking C:\Users\user\AppData\Local\Temp\tmpz0hwvfxg.cpp: HAVE_DSHOW;_WIN32;__clang__...
",No major code quality issues found.,2324.0,23.6,6.4,154.1,88.0,6.0,0.07,0.3
26039,opencv,70,813,1,2,3,,1,False,2,0,False,9,147.7,,0.0,0,-0.1,"Checking C:\Users\user\AppData\Local\Temp\tmpsmt102mn.cpp ...
",No major code quality issues found.,73.0,5.9,1.8,45.1,9.0,0.0,0.0,0.0
26038,opencv,9,730,3,5,5,56.78944444444444,2,False,0,1,True,9,147.66666666666666,,56.75333333333333,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmp7vfjdh7_.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmp7vfjdh7_.cpp: HAVE_INF_ENGINE...
Checking C:\Users\user\AppData\Local\Temp\tmp7vfjdh7_.cpp: HAVE_INF_ENGINE;HAVE_TBB...
Checking C:\Users\user\AppData\Local\Temp\tmp7vfjdh7_.cpp: HAVE_INF_ENGINE;_WIN32;__APPLE__...

Checking C:\Users\user\AppData\Local\Temp\tmpjwkbkizc.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpjwkbkizc.cpp: HAVE_ONEVPL...
Checking C:\Users\user\AppData\Local\Temp\tmpjwkbkizc.cpp: HAVE_ONEVPL;_WIN32...
Checking C:\Users\user\AppData\Local\Temp\tmpjwkbkizc.cpp: HAVE_ONEVPL;__linux__...
","No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",2068.0,16.0,2.4,146.0,118.0,0.0,0.0,0.0
26034,opencv,62,734,1,2,5,80.54277777777777,1,False,0,1,True,3,82.13333333333334,,80.53972222222222,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpwhj25fz4.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpwhj25fz4.cpp: HAVE_DSHOW;_WIN32...
Checking C:\Users\user\AppData\Local\Temp\tmpwhj25fz4.cpp: HAVE_DSHOW;_WIN32;_DEBUG...
Checking C:\Users\user\AppData\Local\Temp\tmpwhj25fz4.cpp: HAVE_DSHOW;_WIN32;__GNUC__...
Checking C:\Users\user\AppData\Local\Temp\tmpwhj25fz4.cpp: HAVE_DSHOW;_WIN32;__MINGW32__...
Checking C:\Users\user\AppData\Local\Temp\tmpwhj25fz4.cpp: HAVE_DSHOW;_WIN32;__clang__...
",No major code quality issues found.,2324.0,23.6,6.4,154.1,88.0,6.0,0.07,0.3
26014,opencv,84,2971,1,31,31,313.6647222222222,4,False,0,1,True,24,91.2,,313.64472222222224,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmp_6qz1ch5.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmp_6qz1ch5.cpp: DEBUG_CHESSBOARD...
Checking C:\Users\user\AppData\Local\Temp\tmp_6qz1ch5.cpp: DEBUG_CHESSBOARD;ENABLE_TRIM_COL_ROW...
Checking C:\Users\user\AppData\Local\Temp\tmp_6qz1ch5.cpp: ENABLE_TRIM_COL_ROW...
",No major code quality issues found.,1689.0,47.5,13.0,345.0,34.0,9.0,0.26,0.67
26004,opencv,21,788,1,3,3,3.1369444444444445,1,True,1,1,True,2,144.06666666666666,,2.479722222222222,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp: CV_SIMD128...
Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp: HAVE_CANN...
Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp: HAVE_CUDA...
Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp: HAVE_DNN_NGRAPH...
Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp: HAVE_HALIDE...
Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp: HAVE_INF_ENGINE...
Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp: HAVE_OPENCL...
Checking C:\Users\user\AppData\Local\Temp\tmpb8tzefl2.cpp: HAVE_WEBNN...
",No major code quality issues found.,2506.0,6.4,1.7,53.4,335.0,0.0,0.0,0.0
