number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate,code_quality_rate
926,36.1,7.5,266.8,24,2,0.08,0.3,not bad
1252,33.1,6.8,399.4,36,4,0.11,0.33,not bad
1252,33.1,6.8,399.4,36,4,0.11,0.33,not bad
416,6.9,1.9,56,58,1,0.02,0.37,not bad
2324,23.6,6.4,154.1,88,6,0.07,0.3,not bad
73,5.9,1.8,45.1,9,0,0,0,best
2068,16,2.4,146,118,0,0,0,not bad
2324,23.6,6.4,154.1,88,6,0.07,0.3,not bad
1689,47.5,13,345,34,9,0.26,0.67,not bad
2506,6.4,1.7,53.4,335,0,0,0,worst
1345,41.5,11.7,573.5,32,6,0.19,0.52,not bad
2328,36.2,8.2,320,57,9,0.16,0.49,not bad
1345,41.5,11.7,573.5,32,6,0.19,0.52,not bad
1689,47.5,13,345,34,9,0.26,0.67,not bad
932,31.9,10.5,336.8,27,7,0.26,0.63,not bad
116,11.1,2,71.2,9,0,0,0,great
2553,16.7,4,173.6,142,7,0.05,0.26,not bad
,,,,,,,,the best
123,18.2,5,123.5,4,0,0,0,good
1688,21.4,2.9,187,77,3,0.04,0.23,not bad
63,5.6,1.1,37.3,9,0,0,0,best
1711,35.5,12.2,272.9,48,14,0.29,0.66,medium
818,14.7,4.5,99.3,52,4,0.08,0.22,not bad
1151,16.1,5.3,128,56,4,0.07,0.5,not bad
674,24.5,3.3,264.8,26,0,0,0,medium
1459,14,6,137.9,84,5,0.06,0.34,not bad
2461,9,3.4,57.6,269,10,0.04,0.17,not bad
3448,24.8,6.3,206.1,138,20,0.14,0.41,not bad
3448,24.8,6.3,206.1,138,20,0.14,0.41,not bad
392,14.9,1.9,112.6,26,0,0,0,good
457,23.9,3.7,207.3,15,0,0,0,medium
303,10.5,2.9,58.1,18,0,0,0,great
273,87,12.3,4146.7,3,1,0.33,0.58,bad
618,26,5.5,153.3,20,2,0.1,0.62,not bad
662,10.6,1.1,110.5,8,0,0,0,good
2461,9,3.4,57.6,269,10,0.04,0.17,not bad
2461,9,3.4,57.6,269,10,0.04,0.17,not bad
2461,9,3.4,57.6,269,10,0.04,0.17,not bad
2900,9.1,2,90.3,276,0,0,0,bad
273,87,12.3,4146.7,3,1,0.33,0.58,bad
576,26.2,4.5,257.4,21,2,0.1,0.24,not bad
137,10.8,3,66.2,12,0,0,0,great
2188,17.1,4.3,119.9,119,3,0.03,0.19,not bad
324,11,3.3,84.6,25,0,0,0,good
3650,77.3,18.6,815.4,47,15,0.32,0.76,worst
1653,19.3,4.3,154.6,77,4,0.05,0.24,not bad
1027,14.8,4.1,137.1,61,3,0.05,0.28,not bad
1293,58.6,8.5,678.2,21,3,0.14,0.51,not bad
634,27.8,5.3,311.2,22,1,0.05,0.23,not bad
1689,47.5,13,345,34,9,0.26,0.67,not bad
547,76.9,29.4,737.7,7,5,0.71,0.89,not bad
206,22.1,3.9,191.5,8,1,0.12,0.66,not bad
2900,9.1,2,90.3,276,0,0,0,bad
2709,12.4,4.5,125.9,161,8,0.05,0.32,not bad
1653,19.3,4.3,154.6,77,4,0.05,0.24,not bad
16,5.7,1.7,27.3,3,0,0,0,the best
402,10.9,4.6,96.5,26,1,0.04,0.21,not bad
117,9.9,1.9,81.6,10,0,0,0,good
303,17.5,3.3,156.2,16,0,0,0,good
303,10.5,2.9,58.1,18,0,0,0,great
674,24.5,3.3,264.8,26,0,0,0,medium
300,23.2,3.4,105.3,12,0,0,0,good
402,10.9,4.6,96.5,26,1,0.04,0.21,not bad
539,16.8,4.6,112.2,28,1,0.04,0.18,not bad
404,20.1,2.7,163,18,0,0,0,good
2427,22.3,1.8,235.2,103,0,0,0,medium
138,24.6,9.6,199,5,1,0.2,0.62,not bad
,,,,,,,,the best
495,46.6,8.5,405.4,10,1,0.1,0.3,not bad
1439,42.4,11,373.1,33,5,0.15,0.34,not bad
674,24.5,3.3,264.8,26,0,0,0,medium
495,46.6,8.5,405.4,10,1,0.1,0.3,not bad
367,11.6,2.5,73.3,27,0,0,0,great
1322,62.3,14.7,414.1,20,6,0.3,0.72,not bad
577,31.3,7.5,390.8,18,1,0.06,0.45,not bad
3403,28.4,5.7,252.7,114,9,0.08,0.24,not bad
819,9.1,1.8,106.1,89,0,0,0,medium
1977,12.6,2.6,150.5,137,3,0.02,0.13,not bad
2900,9.1,2,90.3,276,0,0,0,bad
577,31.3,7.5,390.8,18,1,0.06,0.45,not bad
323,13.3,3.5,131.8,20,0,0,0,good
926,36.1,7.5,266.8,24,2,0.08,0.3,not bad
212,12.1,4.1,112.3,16,1,0.06,0.33,not bad
2175,20.6,4.3,185.9,99,5,0.05,0.09,not bad
2597,24.8,6,143.8,96,7,0.07,0.53,not bad
926,36.1,7.5,266.8,24,2,0.08,0.3,not bad
2427,22.3,1.8,235.2,103,0,0,0,medium
150,17.6,2.5,133.4,8,0,0,0,good
797,31.7,6.4,209.5,23,2,0.09,0.3,not bad
626,29.2,8,270.4,21,4,0.19,0.27,not bad
926,36.1,7.5,266.8,24,2,0.08,0.3,not bad
2900,9.1,2,90.3,276,0,0,0,bad
150,17.6,2.5,133.4,8,0,0,0,good
25,19,1,174,1,0,0,0,medium
2597,24.8,6,143.8,96,7,0.07,0.53,not bad
615,14.4,3.1,78.4,42,2,0.05,0.39,not bad
819,9.1,1.8,106.1,89,0,0,0,medium
626,29.2,8,270.4,21,4,0.19,0.27,not bad
682,33.2,9,255.1,20,2,0.1,0.57,not bad
576,26.2,4.5,257.4,21,2,0.1,0.24,not bad
843,62,22.6,476.5,13,5,0.38,0.85,not bad
126,52,7,440,2,0,0,0,not bad
404,20.1,2.7,163,18,0,0,0,good
86,12,2,94.2,6,0,0,0,good
