number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate,code_quality_rate
26,7,2,47,3,0,0,0,best
46,4.7,1.7,22.8,9,0,0,0,the best
47,8,3.2,46.8,5,0,0,0,best
948,8,2.2,27.2,117,0,0,0,not bad
32,0,0,0,1,0,0,0,the best
,,,,,,,,the best
,,,,,,,,the best
104,7.4,1.9,47.3,10,0,0,0,best
104,7.4,1.9,47.3,10,0,0,0,best
43,3.1,1,10.1,7,0,0,0,the best
1,0,0,0,1,0,0,0,the best
175,5.3,1.8,29.9,18,0,0,0,best
81,5,1.4,24.8,14,0,0,0,best
242,6.2,1.7,23.9,35,0,0,0,good
187,6.9,3.8,39.5,24,1,0.04,0.09,not bad
78,5,1.5,20.5,2,0,0,0,the best
104,7.4,1.9,47.3,10,0,0,0,best
882,10.7,1.4,52.4,74,0,0,0,medium
242,6.2,1.7,23.9,35,0,0,0,good
211,7.2,1,67,27,0,0,0,great
242,6.2,1.7,23.9,35,0,0,0,good
103,7.6,2.1,36.7,9,0,0,0,best
18,3,1,21,1,0,0,0,the best
48,19.5,2.5,150.5,2,0,0,0,good
886,6.1,2,28.1,128,0,0,0,not bad
,,,,,,,,the best
103,11.5,1.9,56.2,8,0,0,0,great
116,10.2,1,39.2,4,0,0,0,best
198,6.6,1.1,32.8,28,0,0,0,great
1222,8.1,1.1,31.9,141,0,0,0,not bad
284,7,2.5,52.6,36,0,0,0,good
75,8.2,2.4,43.6,5,0,0,0,best
609,7.9,1.1,39.1,76,0,0,0,medium
1553,3.6,1,9.4,62,0,0,0,medium
1218,7.2,2.4,38.6,153,2,0.01,0.07,not bad
475,9.9,1.7,55.9,44,0,0,0,good
172,0,0,0,1,0,0,0,the best
609,7.9,1.1,39.1,76,0,0,0,medium
33,12.5,3.5,65,2,0,0,0,great
292,4.4,1.7,20.5,57,0,0,0,medium
,,,,,,,,the best
4,0,0,0,1,0,0,0,the best
19,3,1,16.2,4,0,0,0,the best
,,,,,,,,the best
111,6.2,1.2,35.4,12,0,0,0,best
121,6.6,2.7,29.1,15,0,0,0,best
88,0,0,0,1,0,0,0,the best
67,7.1,1.4,37.2,8,0,0,0,best
4,0,0,0,1,0,0,0,the best
59,5.2,1.7,27.2,6,0,0,0,the best
624,7.7,2.3,45.5,70,0,0,0,medium
59,5.2,1.7,27.2,6,0,0,0,the best
624,7.7,2.3,45.5,70,0,0,0,medium
766,8,1.5,40,56,0,0,0,medium
75,10.7,3.8,50.5,6,0,0,0,best
191,4,1.4,14.7,27,0,0,0,great
802,7.6,1.2,30.8,69,0,0,0,medium
414,5.3,1.6,27.7,71,0,0,0,medium
292,4.4,1.7,20.5,57,0,0,0,medium
20,5,2,12,2,0,0,0,the best
538,4.9,1.1,23.9,94,0,0,0,medium
176,5.8,1.7,54,27,0,0,0,great
65,14.5,1,69.5,4,0,0,0,great
882,10.7,1.4,52.4,74,0,0,0,medium
1181,9.3,1.1,34.7,133,0,0,0,not bad
,,,,,,,,the best
221,7.9,1,33.7,27,0,0,0,great
225,4.4,1.6,24.7,43,0,0,0,good
170,7.3,1,33.3,3,0,0,0,best
221,7.9,1,33.7,27,0,0,0,great
129,8,1.1,47.1,14,0,0,0,best
