pr_id,repository_name,title_length,description_length,files_changed,lines_added,lines_deleted,time_to_merge,num_commits,is_bug_fix,num_comments,num_reviewers,merge_status,author_experience,author_tenure,author_contributions,review_time,num_approvals,review_sentiment_score,security_issues,code_quality_issues,code_quality_rate
52696,rails,50,187,2,31,2,2.129722222222222,1,False,0,1,True,495,181.46666666666667,,1.5686111111111112,1,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
52695,rails,29,3016,1,1,1,2.7088888888888887,1,False,1,0,True,10,187.66666666666666,,0,0,0.0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52694,rails,78,1749,1,1,1,5.758055555555556,1,False,1,0,True,9,149.16666666666666,,0,0,0.0,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
8
0
 
c
h
a
r
a
c
t
e
r
s
.",medium
52688,rails,57,360,1,2,0,0.4038888888888889,1,False,0,0,True,78,199.93333333333334,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
52687,rails,45,185,4,4,4,0.2797222222222222,1,False,0,0,True,6,162.06666666666666,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52682,rails,36,5833,1,3,0,3.008611111111111,1,False,0,0,True,560,186.96666666666667,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52673,rails,28,552,1,1,1,,1,False,4,0,False,10,90.13333333333334,,0,0,0.509375,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52672,rails,35,210,1,2,2,0.24972222222222223,1,False,2,0,True,3,182.3,,0,0,0.1,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52667,rails,73,268,1,3,2,1.7947222222222223,1,False,1,1,True,1,101.0,,0.6486111111111111,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52666,rails,32,82,1,8,3,1.1533333333333333,1,False,0,0,True,1,101.0,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
52665,rails,47,241,2,23,5,0.3013888888888889,1,False,0,0,True,1,101.0,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52648,rails,70,1039,1,8,8,26.50777777777778,1,False,1,1,True,541,193.0,,7.6725,1,0.25,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52647,rails,52,41,1,1,1,0.051666666666666666,1,False,0,1,True,13,200.3,,0.049166666666666664,1,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52644,rails,73,2579,2,10,1,,5,False,1,1,False,6,75.53333333333333,,1.4308333333333334,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52637,rails,46,62,1,3,3,111.02,1,False,0,0,True,3,185.83333333333334,,0,0,0,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
8
0
 
c
h
a
r
a
c
t
e
r
s
.",the best
52636,rails,70,168,1,2,2,15.409722222222221,1,False,1,1,True,17,134.7,,2.0369444444444444,1,0.25,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52634,rails,65,1205,3,3,0,57.04,1,False,3,0,True,7,175.53333333333333,,0,0,0.3181818181818182,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52632,rails,66,483,2,41,41,0.6744444444444444,2,False,1,0,True,0,190.0,,0,0,0.0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
52630,rails,55,1442,1,1,1,69.93166666666667,1,False,1,0,True,0,192.16666666666666,,0,0,0.0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
52629,rails,41,1738,3,92,90,2.7425,1,False,5,6,True,398,134.3,,226.68777777777777,2,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52628,rails,53,350,1,8,4,67.20222222222222,1,False,2,1,True,13,200.23333333333332,,5.245,1,0.11666666666666667,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52622,rails,66,774,3,28,19,0.2088888888888889,1,False,4,0,True,0,190.0,,0,0,-0.125,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
52621,rails,36,583,2,44,16,,1,False,1,0,False,0,190.0,,0,0,0.056249999999999994,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
52619,rails,43,161,2,12,1,0.35583333333333333,1,False,1,1,True,315,132.06666666666666,,0.03305555555555555,1,0.25,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
52618,rails,36,419,1,5,1,,1,False,0,0,False,0,190.0,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
52616,rails,52,231,2,8,2,0.14333333333333334,1,False,2,1,True,1692,189.96666666666667,,7.998055555555555,0,0.23,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52613,rails,71,279,4,7,5,0.5261111111111111,1,False,0,0,True,1692,189.96666666666667,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52612,rails,31,1189,1,1,0,4.205,1,False,0,0,True,2,65.66666666666667,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
52608,rails,60,716,1,11,7,1.4247222222222222,1,False,1,0,True,90,166.4,,0,0,0.0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
52591,rails,66,13,3,8,2,5.0936111111111115,1,False,0,0,True,315,131.96666666666667,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
52590,rails,33,992,2,17,2,1.3444444444444446,1,False,0,0,True,398,134.2,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52580,rails,59,139,4,10,6,0.19777777777777777,1,False,0,1,True,0,189.86666666666667,,0.18166666666666667,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
52578,rails,53,1762,2,29,0,2.7416666666666667,2,False,3,2,True,78,199.56666666666666,,1.3469444444444445,0,0.0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
52567,rails,38,239,1,4,4,79.8125,1,False,1,1,True,9,184.7,,62.909444444444446,2,0.1,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
52566,rails,43,1336,1,0,1,0.2775,1,False,0,0,True,560,186.56666666666666,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52560,rails,50,2268,1,4,2,0.43333333333333335,1,False,0,0,True,560,186.56666666666666,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
52559,rails,39,911,1,2,0,12.108888888888888,1,False,1,0,True,2,65.53333333333333,,0,0,0.0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
52542,rails,24,669,1,0,1,4.9925,1,False,1,0,True,0,197.13333333333333,,0,0,0.25,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
52529,rails,57,903,7,74,19,314.41027777777776,1,False,11,2,True,1,100.53333333333333,,10.438055555555556,0,1.7580357142857144,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52528,rails,75,3439,1,2,2,0.28833333333333333,1,False,0,0,True,560,186.43333333333334,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
52520,rails,60,3524,1,160,50,71.38527777777777,1,False,5,2,True,541,192.56666666666666,,198.8972222222222,1,0.95,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
52518,rails,49,825,1,1,2,1.1405555555555555,1,False,0,0,True,5,175.36666666666667,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
52504,rails,70,2822,3,3,4,112.92138888888888,1,False,1,0,True,6,141.16666666666666,,0,0,0.45,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52502,rails,96,3504,1,1,1,2.9825,1,False,0,0,True,560,186.33333333333334,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52500,rails,27,2159,1,2,2,24.57111111111111,1,False,4,2,True,1,109.5,,72.49,1,-0.041666666666666664,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52492,rails,61,162,1,1,0,,1,False,1,0,False,2,200.26666666666668,,0,0,0.06666666666666667,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52484,rails,68,1110,1,5,7,0.2608333333333333,1,False,2,0,True,10,186.93333333333334,,0,0,0.1,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52470,rails,42,746,3,58,51,1.3258333333333334,1,False,1,1,True,0,189.5,,1.2130555555555556,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52469,rails,64,716,3,0,3,0.30972222222222223,1,False,0,0,True,1,167.53333333333333,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
52466,rails,33,571,5,36,66,1.5177777777777777,1,False,6,2,True,1,100.3,,5.145,0,0,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
8
0
 
c
h
a
r
a
c
t
e
r
s
.",the best
52465,rails,56,314,1,0,5,2.272777777777778,1,False,0,0,True,1,100.3,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
52464,rails,59,323,2,4,4,1.1255555555555556,1,False,0,0,True,1,100.3,,0,0,0,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
8
0
 
c
h
a
r
a
c
t
e
r
s
.",the best
52462,rails,58,479,5,32,25,1.2894444444444444,1,False,1,1,True,1,100.3,,0.35305555555555557,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
52461,rails,77,264,4,17,3,0.4,1,False,0,0,True,1,100.3,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
52449,rails,76,806,2,5,2,349.80694444444447,3,False,1,1,True,495,180.66666666666666,,5.23,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
52448,rails,27,114,1,1,1,14.324722222222222,1,False,2,0,True,0,180.66666666666666,,0,0,0.35357142857142854,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
