pr_id,repository_name,title_length,description_length,files_changed,lines_added,lines_deleted,time_to_merge,num_commits,is_bug_fix,num_comments,num_reviewers,merge_status,author_experience,author_tenure,author_contributions,review_time,num_approvals,review_sentiment_score,security_issues,code_quality_issues,code_quality_rate
33404,spring-framework,36,453,2,19,2,,1,False,1,0,False,0,77.33333333333333,,0,0,0.1,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
33402,spring-framework,61,683,1,1,1,,1,False,1,0,False,1,49.9,,0,0,0.2,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
33401,spring-framework,76,207,1,48,30,,2,False,4,0,False,4,52.333333333333336,,0,0,0.75,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
33390,spring-framework,62,62,1,1,1,,1,False,7,0,False,0,58.4,,0,0,0.3892331932773109,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
33374,spring-framework,34,293,2,8,2,,1,False,0,0,False,4,132.76666666666668,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
33370,spring-framework,46,451,17,246,41,,1,False,5,0,False,4,132.73333333333332,,0,0,0.3583333333333333,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
33368,spring-framework,27,115,1,3,3,,1,False,1,0,False,4,52.13333333333333,,0,0,0.2,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
33366,spring-framework,27,301,1,68,49,,1,False,6,0,False,4,132.73333333333332,,0,0,0.9988636363636363,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
33365,spring-framework,66,502,1,1,2,,1,False,2,1,False,0,86.13333333333334,,16.725833333333334,0,-0.40555555555555556,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
33364,spring-framework,96,559,1,1,1,,1,False,4,0,False,0,86.13333333333334,,0,0,0.302020202020202,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
33351,spring-framework,52,105,1,2,1,,1,False,1,0,False,192,156.93333333333334,,0,0,0.25,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
33343,spring-framework,48,68,2,26,3,,1,False,2,1,False,0,73.96666666666667,,144.91694444444445,0,0.1361111111111111,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
33336,spring-framework,66,156,1,1,1,,1,False,2,0,False,1,141.43333333333334,,0,0,0.575,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
33316,spring-framework,14,98,3,4,4,,2,False,2,0,False,2,73.03333333333333,,0,0,-0.09625,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
33308,spring-framework,34,45,1,1,1,,1,False,1,0,False,4,159.0,,0,0,0.25,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
33306,spring-framework,45,110,2,33,0,,1,False,1,0,False,2,25.966666666666665,,0,0,0.16727272727272727,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
33298,spring-framework,36,98,1,25,0,,2,False,1,0,False,2,72.9,,0,0,0.25,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
33297,spring-framework,56,932,2,23,5,,1,False,3,0,False,0,13.233333333333333,,0,0,0.55,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",not bad
33285,spring-framework,55,557,2,20,1,,1,False,3,0,False,0,40.96666666666667,,0,0,0.225,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
33266,spring-framework,49,235,1,1,1,,1,False,1,0,False,2,134.03333333333333,,0,0,0.25,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",best
33260,spring-framework,20,38,1,1,0,,1,False,4,0,False,0,64.1,,0,0,0.4928571428571429,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
33258,spring-framework,53,460,2,13,1,,1,False,3,0,False,1,76.06666666666666,,0,0,1.3877787807814457e-17,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
33250,spring-framework,50,476,2,27,0,,1,False,1,0,False,0,196.2,,0,0,0.5,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",medium
33247,spring-framework,54,108,1,1,0,,1,False,1,0,False,192,156.3,,0,0,0.0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
33241,spring-framework,20,0,1,5,5,,1,False,3,0,False,0,130.1,,0,0,-0.014285714285714263,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
33233,spring-framework,59,188,2,28,2,,1,False,4,0,False,2,133.86666666666667,,0,0,0.4259469696969697,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",great
33222,spring-framework,44,37,2,33,2,,1,False,2,0,False,68,179.36666666666667,,0,0,0.5,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
33220,spring-framework,84,699,2,68,5,,4,False,9,2,False,1,76.76666666666667,,905.9872222222223,1,0.375,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",good
33186,spring-framework,6,0,1,2,2,,1,False,3,0,False,0,110.76666666666667,,0,0,0.1,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
33181,spring-framework,60,180,2,6,1,,1,False,0,0,False,0,121.46666666666667,,0,0,0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
33156,spring-framework,64,187,1,11,3,,1,False,1,0,False,4,86.0,,0,0,0.23,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",great
33155,spring-framework,34,232,5,196,3,,1,False,1,0,False,1,76.46666666666667,,0,0,0.0,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
33152,spring-framework,61,615,1,4,6,,1,False,1,0,False,0,105.33333333333333,,0,0,0.07857142857142857,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",good
33150,spring-framework,52,1466,2,26,0,,1,False,1,1,False,1,107.56666666666666,,90.73916666666666,0,0.8,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",great
33137,spring-framework,59,2133,2,18,6,,1,False,3,0,False,0,114.0,,0,0,0.20952380952380956,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
33134,spring-framework,83,153,1,3,1,,1,False,8,0,False,0,3.6333333333333333,,0,0,0.7325892857142857,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
33111,spring-framework,99,317,2,66,16,,1,False,2,0,False,0,9.766666666666667,,0,0,0.375,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",best
33105,spring-framework,98,210,2,81,12,,2,False,6,1,False,1,77.26666666666667,,5.053888888888889,0,0.88,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",best
33101,spring-framework,59,1464,5,152,1,,1,False,2,0,False,0,157.66666666666666,,0,0,0.3953125,,"1
 
l
i
n
e
s
 
e
x
c
e
e
d
 
1
0
0
 
c
h
a
r
a
c
t
e
r
s
.",medium
33085,spring-framework,82,1543,2,26,9,,1,False,1,0,False,4,50.43333333333333,,0,0,0.2555555555555556,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
33073,spring-framework,43,49,2,111,4,,3,False,4,2,False,1,116.43333333333334,,554.6447222222222,0,0.2,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",good
33065,spring-framework,51,2468,1,3,3,,1,False,2,0,False,0,142.1,,0,0,0.3080357142857143,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
33042,spring-framework,60,34,1,1,1,,1,False,3,0,False,0,4.1,,0,0,-0.275,,"N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",the best
