number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
254,6.2,1,55.2,29,0,0,0
754,4.7,1,35.5,117,0,0,0
299,5.4,1,40.9,33,0,0,0
437,6.5,1.9,40.1,54,0,0,0
638,7.8,1,77.5,69,0,0,0
202,5.7,1.6,35.7,26,0,0,0
149,5.1,1,36,21,0,0,0
147,5.5,1.6,28.9,22,0,0,0
266,8.5,2.2,51.8,26,0,0,0
266,8.5,2.2,51.8,26,0,0,0
52,4.6,1.2,32,8,0,0,0
240,8.6,1,88.5,24,0,0,0
229,5.5,1.5,35.6,29,0,0,0
584,7.8,2.3,50.6,61,0,0,0
162,4.2,1.2,24.4,29,0,0,0
74,3,1,14.7,7,0,0,0
680,8.1,1.2,95.1,72,0,0,0
937,4.5,1,42.4,158,0,0,0
224,14.2,1.1,133.3,13,0,0,0
158,8.8,2.5,50.4,13,0,0,0
83,4.8,1.9,30.7,13,0,0,0
130,5.2,1,42.4,15,0,0,0
652,5.9,1,49.4,89,0,0,0
349,11.3,3.4,77.6,26,1,0.04,0.19
672,9.7,3.2,67,64,1,0.02,0.1
264,6.1,1,55.3,30,0,0,0
91,10.1,1,110.7,7,0,0,0
46,10,1,114.5,2,0,0,0
19,0,0,0,1,0,0,0
366,16.8,1,175.6,20,0,0,0
161,4.7,1.1,26.4,23,0,0,0
47,4.1,1.5,27.1,8,0,0,0
333,5.9,1,48.8,34,0,0,0
266,7.6,1,51.8,26,0,0,0
352,8.9,1,81.3,34,0,0,0
372,4.6,1.4,27.3,59,0,0,0
222,5.8,1.4,45.5,20,0,0,0
222,5.8,1.4,45.5,20,0,0,0
545,6.7,1,49.4,64,0,0,0
557,19.1,1.1,239.3,27,0,0,0
235,12.4,1.1,113.5,13,0,0,0
549,9.6,2.9,57.4,48,1,0.02,0.25
14,0,0,0,1,0,0,0
38,8.7,1.3,91.3,3,0,0,0
314,12.2,1,92.1,23,0,0,0
6,0,0,0,1,0,0,0
100,5.8,1.5,26.6,13,0,0,0
130,5.2,1,42.4,15,0,0,0
,,,,,,,
977,8.9,3.1,60.8,98,1,0.01,0.11
977,8.9,3.1,60.8,98,1,0.01,0.11
977,8.9,3.1,60.8,98,1,0.01,0.11
115,6.2,1.7,47.9,12,0,0,0
23,4.3,1,30,3,0,0,0
419,5.7,2,42.1,58,0,0,0
66,54,1,825,1,0,0,0
255,5.9,1,53.2,28,0,0,0
232,6.1,2.5,40.6,35,0,0,0
165,7.1,1,33.3,9,0,0,0
273,8.4,1,73.4,27,0,0,0
761,15.1,1.1,126.7,44,0,0,0
315,9.1,2.5,68.6,27,0,0,0
761,15.1,1.1,126.7,44,0,0,0
5888,17.6,1.2,165.8,305,0,0,0
115,6.2,1.7,47.9,12,0,0,0
359,6.3,1.6,37.6,40,0,0,0
165,10.8,3,71.3,12,0,0,0
479,6.7,1.8,33.3,56,0,0,0
227,3.1,1,37.6,55,0,0,0
102,7,1,70,1,0,0,0
