number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate,code_quality_rate
254.0,6.2,1.0,55.2,29.0,0.0,0.0,0.0,great
754.0,4.7,1.0,35.5,117.0,0.0,0.0,0.0,not bad
299.0,5.4,1.0,40.9,33.0,0.0,0.0,0.0,great
437.0,6.5,1.9,40.1,54.0,0.0,0.0,0.0,good
638.0,7.8,1.0,77.5,69.0,0.0,0.0,0.0,medium
202.0,5.7,1.6,35.7,26.0,0.0,0.0,0.0,great
149.0,5.1,1.0,36.0,21.0,0.0,0.0,0.0,best
147.0,5.5,1.6,28.9,22.0,0.0,0.0,0.0,best
266.0,8.5,2.2,51.8,26.0,0.0,0.0,0.0,great
266.0,8.5,2.2,51.8,26.0,0.0,0.0,0.0,great
52.0,4.6,1.2,32.0,8.0,0.0,0.0,0.0,the best
240.0,8.6,1.0,88.5,24.0,0.0,0.0,0.0,good
229.0,5.5,1.5,35.6,29.0,0.0,0.0,0.0,great
584.0,7.8,2.3,50.6,61.0,0.0,0.0,0.0,medium
162.0,4.2,1.2,24.4,29.0,0.0,0.0,0.0,great
74.0,3.0,1.0,14.7,7.0,0.0,0.0,0.0,the best
680.0,8.1,1.2,95.1,72.0,0.0,0.0,0.0,medium
937.0,4.5,1.0,42.4,158.0,0.0,0.0,0.0,not bad
224.0,14.2,1.1,133.3,13.0,0.0,0.0,0.0,good
158.0,8.8,2.5,50.4,13.0,0.0,0.0,0.0,best
83.0,4.8,1.9,30.7,13.0,0.0,0.0,0.0,best
130.0,5.2,1.0,42.4,15.0,0.0,0.0,0.0,best
652.0,5.9,1.0,49.4,89.0,0.0,0.0,0.0,medium
349.0,11.3,3.4,77.6,26.0,1.0,0.04,0.19,not bad
672.0,9.7,3.2,67.0,64.0,1.0,0.02,0.1,not bad
264.0,6.1,1.0,55.3,30.0,0.0,0.0,0.0,great
91.0,10.1,1.0,110.7,7.0,0.0,0.0,0.0,good
46.0,10.0,1.0,114.5,2.0,0.0,0.0,0.0,good
19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
366.0,16.8,1.0,175.6,20.0,0.0,0.0,0.0,medium
161.0,4.7,1.1,26.4,23.0,0.0,0.0,0.0,great
47.0,4.1,1.5,27.1,8.0,0.0,0.0,0.0,the best
333.0,5.9,1.0,48.8,34.0,0.0,0.0,0.0,good
266.0,7.6,1.0,51.8,26.0,0.0,0.0,0.0,great
352.0,8.9,1.0,81.3,34.0,0.0,0.0,0.0,good
372.0,4.6,1.4,27.3,59.0,0.0,0.0,0.0,medium
222.0,5.8,1.4,45.5,20.0,0.0,0.0,0.0,best
222.0,5.8,1.4,45.5,20.0,0.0,0.0,0.0,best
545.0,6.7,1.0,49.4,64.0,0.0,0.0,0.0,medium
557.0,19.1,1.1,239.3,27.0,0.0,0.0,0.0,medium
235.0,12.4,1.1,113.5,13.0,0.0,0.0,0.0,good
549.0,9.6,2.9,57.4,48.0,1.0,0.02,0.25,not bad
14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
38.0,8.7,1.3,91.3,3.0,0.0,0.0,0.0,good
314.0,12.2,1.0,92.1,23.0,0.0,0.0,0.0,good
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
100.0,5.8,1.5,26.6,13.0,0.0,0.0,0.0,best
130.0,5.2,1.0,42.4,15.0,0.0,0.0,0.0,best
,,,,,,,,the best
977.0,8.9,3.1,60.8,98.0,1.0,0.01,0.11,not bad
977.0,8.9,3.1,60.8,98.0,1.0,0.01,0.11,not bad
977.0,8.9,3.1,60.8,98.0,1.0,0.01,0.11,not bad
115.0,6.2,1.7,47.9,12.0,0.0,0.0,0.0,best
23.0,4.3,1.0,30.0,3.0,0.0,0.0,0.0,the best
419.0,5.7,2.0,42.1,58.0,0.0,0.0,0.0,medium
66.0,54.0,1.0,825.0,1.0,0.0,0.0,0.0,worst
255.0,5.9,1.0,53.2,28.0,0.0,0.0,0.0,great
232.0,6.1,2.5,40.6,35.0,0.0,0.0,0.0,good
165.0,7.1,1.0,33.3,9.0,0.0,0.0,0.0,best
273.0,8.4,1.0,73.4,27.0,0.0,0.0,0.0,great
761.0,15.1,1.1,126.7,44.0,0.0,0.0,0.0,good
315.0,9.1,2.5,68.6,27.0,0.0,0.0,0.0,great
761.0,15.1,1.1,126.7,44.0,0.0,0.0,0.0,good
5888.0,17.6,1.2,165.8,305.0,0.0,0.0,0.0,bad
115.0,6.2,1.7,47.9,12.0,0.0,0.0,0.0,best
359.0,6.3,1.6,37.6,40.0,0.0,0.0,0.0,good
165.0,10.8,3.0,71.3,12.0,0.0,0.0,0.0,great
479.0,6.7,1.8,33.3,56.0,0.0,0.0,0.0,medium
227.0,3.1,1.0,37.6,55.0,0.0,0.0,0.0,good
102.0,7.0,1.0,70.0,1.0,0.0,0.0,0.0,great
780.0,6.2,1.1,51.4,86.0,0.0,0.0,0.0,medium
188.0,7.0,1.0,48.5,4.0,0.0,0.0,0.0,best
931.0,5.2,1.6,30.4,135.0,0.0,0.0,0.0,not bad
366.0,9.9,1.3,138.1,30.0,0.0,0.0,0.0,good
39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
23.0,4.0,1.0,36.3,3.0,0.0,0.0,0.0,best
65.0,4.3,1.3,32.9,10.0,0.0,0.0,0.0,the best
23.0,4.0,1.0,36.3,3.0,0.0,0.0,0.0,best
291.0,7.1,2.6,49.5,31.0,0.0,0.0,0.0,great
1336.0,6.6,1.0,68.7,108.0,0.0,0.0,0.0,medium
638.0,7.8,1.0,77.5,69.0,0.0,0.0,0.0,medium
658.0,11.3,2.9,65.3,52.0,1.0,0.02,0.14,not bad
72.0,3.9,1.2,23.9,11.0,0.0,0.0,0.0,the best
776.0,7.2,1.8,43.5,89.0,0.0,0.0,0.0,medium
776.0,7.2,1.8,43.5,89.0,0.0,0.0,0.0,medium
479.0,6.7,1.8,33.3,56.0,0.0,0.0,0.0,medium
126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
,,,,,,,,the best
54.0,8.4,2.2,53.4,5.0,0.0,0.0,0.0,best
222.0,11.7,4.1,76.0,17.0,1.0,0.06,0.25,not bad
847.0,9.6,2.7,68.5,73.0,0.0,0.0,0.0,medium
98.0,5.1,1.7,27.8,14.0,0.0,0.0,0.0,best
152.0,5.1,1.8,29.4,21.0,0.0,0.0,0.0,best
325.0,8.9,3.0,63.3,28.0,0.0,0.0,0.0,great
235.0,7.0,1.2,50.0,25.0,0.0,0.0,0.0,great
162.0,7.3,2.1,41.9,14.0,0.0,0.0,0.0,best
177.0,7.4,1.0,88.3,16.0,0.0,0.0,0.0,good
529.0,10.6,2.7,53.0,42.0,1.0,0.02,0.3,not bad
28.0,11.0,2.0,85.0,1.0,0.0,0.0,0.0,good
45.0,3.6,1.0,17.9,7.0,0.0,0.0,0.0,the best
207.0,5.6,1.7,33.1,26.0,0.0,0.0,0.0,great
207.0,5.6,1.7,33.1,26.0,0.0,0.0,0.0,great
119.0,5.9,1.8,43.7,16.0,0.0,0.0,0.0,best
343.0,6.3,1.1,56.7,38.0,0.0,0.0,0.0,good
1670.0,6.5,1.0,51.5,174.0,0.0,0.0,0.0,not bad
286.0,19.3,4.6,133.4,14.0,1.0,0.07,0.26,not bad
357.0,4.9,1.0,37.4,47.0,0.0,0.0,0.0,good
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
62.0,5.5,1.8,30.0,8.0,0.0,0.0,0.0,the best
743.0,10.4,2.8,76.1,69.0,2.0,0.03,0.19,not bad
323.0,5.6,1.7,30.8,45.0,0.0,0.0,0.0,good
323.0,5.6,1.7,30.8,45.0,0.0,0.0,0.0,good
